iter	Passed	Remaining
805	803021	193283
806	803955	192271
807	804922	191268
808	805896	190267
809	806835	189257
810	807762	188245
811	808711	187238
812	809708	186243
813	810630	185230
814	811599	184228
815	812586	183230
816	813594	182237
817	814565	181235
818	815544	180236
819	816533	179239
820	817495	178235
821	818428	177226
822	819435	176233
823	820447	175241
824	821416	174239
825	822420	173245
826	823389	172244
827	824412	171254
828	825391	170255
829	826374	169257
830	827368	168261
831	828361	167265
832	829332	166264
833	830301	165263
834	831249	164258
835	832224	163259
836	833194	162258
837	834149	161255
838	835107	160253
839	836093	159255
840	836997	158243
841	837922	157234
842	838887	156234
843	839830	155229
844	840771	154224
845	841754	153227
846	842666	152217
847	843617	151214
848	844566	150211
849	845521	149209
850	846495	148211
851	847433	147206
852	848375	146203
853	849337	145202
854	850326	144207
855	851314	143211
856	852263	142209
857	853313	141224
858	854276	140224
859	855254	139227
860	856175	138221
861	857131	137220
862	858086	136219
863	859071	135224
864	860025	134223
865	860962	133220
866	861906	132218
867	862828	131213
868	863779	130212
869	864769	129218
870	865744	128221
871	866718	127224
872	867699	126228
873	868642	125227
874	869637	124233
875	870593	123234
876	871577	122239
877	872511	121237
878	873470	120238
879	874489	119248
880	875428	118247
881	876386	117249
882	877358	116252
883	878364	115260
884	879318	114261
885	880274	113263
886	881282	112271
887	882252	111275
888	883163	110271
889	884125	109273
890	885115	108280
891	886096	107285
892	887133	106297
893	888168	105308
894	889165	104315
895	890158	103321
896	891129	102325
897	892115	101331
898	893067	100333
899	894010	99334
900	894970	98337
901	895937	97341
902	896919	96346
903	897867	95348
904	898817	94351
905	899753	93351
906	900722	92356
907	901652	91356
908	902636	90362
909	903606	89367
910	904555	88370
911	905569	87379
912	906527	86383
913	907504	85388
914	908437	84390
915	909415	83396
916	910358	82398
917	911314	81402
918	912289	80408
919	913339	79420
920	914325	78427
921	915294	77432
922	916255	76437
923	917255	75445
924	918206	74449
925	919140	73451
926	920089	72455
927	921016	71458
928	922011	70465
929	922991	69472
930	924133	68491
931	925105	67496
932	926065	66502
933	927091	65511
934	928054	64517
935	928986	63520
936	929919	62523
937	930851	61527
938	931833	60534
939	932782	59539
940	933725	58543
941	934702	57550
942	935691	56558
943	936675	55565
944	937627	54570
945	938587	53576
946	939524	52581
947	940490	51588
948	941492	50596
949	942421	49601
950	943427	48609
951	944412	47617
952	945373	46623
953	946339	45630
954	947357	44639
955	948331	43647
956	949265	42652
957	950240	41659
958	951193	40666
959	952160	39673
960	953139	38680
961	954154	37690
962	955187	36699
963	956190	35708
964	957202	34717
965	958176	33724
966	959152	32732
967	960114	31739
968	961067	30746
969	962043	29753
970	963022	28761
971	964035	27770
972	964999	26777
973	965938	25784
974	966866	24791
975	967846	23799
976	968806	22807
977	969824	21816
978	970816	20824
979	971790	19832
980	972768	18840
981	973783	17849
982	974741	16857
983	975728	15865
984	976697	14873
985	977725	13882
986	978688	12890
987	979679	11898
988	980665	10907
989	981662	9915
990	982645	8924
991	983628	7932
992	984610	6940
993	985570	5949
994	986492	4957
995	987446	3965
996	988426	2974
997	989384	1982
998	990380	991
999	991369	0
